,HR,p-value
0,-1.125752203348136,0.26027042048806676
1,-0.4391789490818743,0.6605318770372497
2,-1.7611674142136897,0.07821007156913119
3,-0.534822170795452,0.5927728305868751
4,-1.3759729437988468,0.1688300099796946
5,0.36036873966589394,0.7185714005285395
6,-1.087178866704789,0.27695776860820787
7,-0.07951837875810029,0.9366203137651037
8,-0.8749029407566695,0.3816267188521071
9,-0.9071659195967509,0.3643190629926618
10,-1.6035183517611165,0.10882026076473048
11,0.8696042820714165,0.3845166968720103
12,-0.5781367820394017,0.5631717756863137
13,-0.21571684592349463,0.8292084692146255
14,-0.8885403076050201,0.37425018397985665
15,0.43342416029814484,0.6647066515460249
16,-1.3295683033530499,0.18366054730207143
17,0.3651284455870295,0.7150155281002422
18,-0.6324704149829704,0.5270795345855663
19,-0.7647446450383046,0.444423615758191
20,0.8833205158082733,0.3770631222122499
21,0.1421183625361645,0.8869865141889441
22,-1.2493484226276288,0.2115376642957112
23,-1.206607784101269,0.2275832275658821
24,0.39870006486398596,0.6901142200683638
25,0.9651067044170528,0.3344913692343775
26,-0.054746749927568644,0.9563402241288654
27,-0.9573946439703668,0.33836810082458574
28,0.7642467256264244,0.44472022632543917
29,0.5080980151064807,0.6113846071934301
30,0.721792970957678,0.47042177166181487
31,-0.27534665619399945,0.7830499227380441
32,-0.5887890480808459,0.5560027935312917
33,-1.1595998667758367,0.24621175526409514
34,1.8290391046267789,0.06739375033313856
35,-0.466166612049993,0.6410962460524428
36,1.0303574081835782,0.30284225921838936
37,0.04417920583657651,0.9647615572056958
38,-2.021936662344259,0.04318289561245124
39,-2.146057507135213,0.031868390907775775
40,-0.39033808603441117,0.6962865638806699
41,-0.7931300623928434,0.42770204941540557
42,-0.17200570560924888,0.8634330434267818
43,-0.38658340347286896,0.6990646465920121
44,-0.7635767183648552,0.44511952776950403
45,-0.4241800978059535,0.6714344741887628
46,-0.8334234845945615,0.4046059344143669
47,-0.08798535269697755,0.9298883178440294
48,-1.0382542048274268,0.29915172298898196
49,0.06173680270470992,0.9507724315346546
50,1.401892615229293,0.1609473160307801
51,-0.5404439333839807,0.5888909166900937
52,-1.4991793447093944,0.13382711200807143
53,-0.22307106780540484,0.8234801955671531
54,-1.3363914241374095,0.18142136791009772
55,0.023211358410438154,0.9814816783479041
56,-0.08873516695060814,0.9292923835772254
